TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,anomaly_score,is_fraud,TransactionAmountBin,TransactionHour,TransactionDay,TransactionWeekday,TimeSinceLastTransaction,anomaly
521.06,1,0,295,88,62,1,25,3,128,1,1951.42,1,0,3,18,18,1,-13573.523055555555,0
117.28,0,2,126,440,56,2,60,1,16,1,3665.77,1,0,1,16,9,3,-15207.538333333334,0
189.12,0,16,664,78,39,1,32,1,103,1,977.01,1,0,1,16,13,0,-8559.437222222223,0
133.55,1,1,196,422,90,0,44,1,220,1,3846.28,1,0,1,16,18,1,-11391.971666666666,0
143.21,1,9,395,501,65,2,35,1,135,1,6374.82,1,0,1,17,13,4,-15855.152777777777,0
24.77,1,4,176,566,69,0,62,2,55,1,5866.01,1,0,0,18,4,1,-11725.861666666666,0
233.92,0,17,286,150,45,2,26,3,280,1,6537.62,1,0,2,16,20,4,-9135.238055555556,0
1212.51,1,16,225,277,35,1,20,3,24,1,605.95,1,0,3,16,4,2,-9519.506111111112,0
232.12,1,29,72,160,65,0,37,1,51,1,6689.87,1,0,2,17,28,3,-7478.637222222223,0
162.63,1,18,69,484,59,2,22,3,113,1,634.17,1,0,1,17,12,0,-12254.241666666667,0
91.53,1,25,351,582,94,1,44,0,69,1,14676.05,1,0,1,16,13,0,-14439.656666666666,0
120.29,1,24,544,186,44,1,19,3,77,1,1362.39,1,0,1,18,18,0,-7717.339722222222,0
174.25,1,39,360,87,31,2,50,0,67,1,10528.34,1,0,1,18,17,0,-11413.266111111112,0
183.71,1,10,471,556,73,0,38,1,102,1,552.52,1,0,1,18,19,0,-12085.794722222223,0
345.39,0,31,95,88,80,2,58,1,80,1,6451.96,1,0,2,17,23,0,-9062.905277777778,0
922.55,1,11,201,328,3,0,63,2,87,1,4715.84,1,0,3,16,23,0,-15615.638611111111,0
259.91,1,10,596,406,27,2,49,0,170,1,7176.86,1,0,2,16,6,0,-8727.59111111111,0
154.71,1,36,477,200,29,2,34,0,157,1,1523.72,1,0,1,16,3,0,-11751.488333333333,0
1340.19,0,2,557,193,11,2,54,1,30,1,8654.28,-1,1,3,17,29,4,-9638.745277777778,1
24.56,1,23,413,171,32,1,64,0,69,1,9869.93,1,0,0,17,20,4,-9134.741666666667,0
568.07,1,42,17,532,53,0,48,0,115,1,10556.81,1,0,3,17,28,0,-10407.060833333333,0
9.61,0,36,438,89,42,2,58,0,179,1,12883.91,1,0,0,18,22,3,-12013.528055555556,0
392.96,1,18,139,246,21,2,24,3,100,1,791.65,1,0,2,16,20,0,-8391.674722222222,0
716.93,0,25,311,12,51,2,60,2,34,1,4064.02,1,0,3,16,14,3,-9999.310833333333,0
223.85,1,18,465,90,8,0,53,1,55,4,2929.91,1,0,2,16,2,0,-9567.530833333334,0
230.66,1,15,509,487,48,1,21,3,135,1,618.05,1,0,2,18,27,0,-14101.91111111111,0
442.12,1,20,625,205,46,2,19,3,260,1,1375.8,1,0,3,16,21,3,-7647.5216666666665,0
644.17,1,35,174,196,92,0,29,1,72,1,1143.52,1,0,3,16,2,3,-14704.048611111111,0
508.68,0,23,602,272,47,1,51,1,127,1,7708.41,1,0,3,16,26,0,-11919.878333333334,0
858.63,0,37,18,225,1,1,27,3,185,1,1872.96,1,0,3,17,18,1,-13574.723333333333,0
25.36,1,21,187,490,6,0,57,1,78,1,201.04,1,0,0,17,17,0,-11415.044722222223,0
147.62,1,5,91,144,27,1,71,2,133,1,2115.8,1,0,1,17,1,4,-10310.68888888889,0
115.02,1,35,511,94,3,1,37,0,175,1,7643.66,1,0,1,16,11,0,-10071.826111111111,0
383.37,1,13,310,232,65,1,30,1,24,1,8901.93,1,0,2,17,24,1,-15590.78638888889,0
98.54,0,12,511,398,94,2,20,3,167,1,9383.43,1,0,1,16,11,4,-10815.854444444445,0
83.24,0,13,589,327,8,1,55,0,164,1,1181.31,1,0,1,18,16,0,-9229.594722222222,0
196.16,1,41,160,315,98,1,27,1,146,1,9418.86,1,0,1,16,24,4,-14847.6525,0
129.94,1,19,627,36,44,0,32,1,235,1,7954.92,1,0,1,16,2,0,-16119.509166666667,0
306.9,1,7,77,584,46,2,46,1,51,1,9418.08,1,0,2,16,30,3,-8151.6625,0
114.98,1,39,178,51,31,2,59,2,80,1,6144.68,1,0,1,16,1,2,-8847.289722222222,0
756.59,1,34,27,222,11,1,27,3,17,1,420.65,1,0,3,16,6,0,-14607.410555555556,0
503.76,1,20,501,344,82,2,22,3,35,1,447.82,1,0,3,18,27,0,-8221.609166666667,0
143.03,1,35,453,286,54,0,63,2,147,1,7981.45,1,0,1,16,31,0,-11079.548888888889,0
1045.22,1,8,385,525,76,0,53,2,73,1,1829.9,1,0,3,16,22,2,-8343.898888888889,0
245.54,1,27,519,432,88,0,25,3,180,1,985.06,1,0,2,16,21,1,-14247.681944444445,0
254.37,0,9,461,121,11,2,51,1,174,1,8849.26,1,0,2,18,20,3,-13525.668333333333,0
213.76,0,9,557,457,8,0,78,2,282,1,3528.72,1,0,2,17,1,2,-14726.289444444445,0
327.86,1,14,635,251,50,2,40,1,104,1,480.16,1,0,2,16,10,4,-15183.228333333333,0
2.5,1,36,653,434,41,2,47,0,107,1,12145.27,1,0,0,16,21,4,-11319.445,0
300.08,0,2,259,555,39,2,68,0,47,1,13546.75,1,0,2,17,9,0,-9399.159722222223,0
56.98,0,28,250,13,85,0,43,1,122,2,5688.37,1,0,0,16,1,0,-7383.558888888889,0
407.65,1,4,527,589,40,2,26,1,62,1,8346.64,1,0,2,16,7,4,-11655.914444444445,0
115.83,1,14,643,76,85,1,39,1,167,1,6481.04,1,0,1,17,22,0,-12759.002777777778,0
53.57,1,15,472,439,24,0,69,2,121,1,1651.33,1,0,0,16,16,2,-10695.85861111111,0
63.34,0,11,419,509,27,2,46,0,165,1,11174.94,1,0,0,16,17,4,-8464.136388888888,0
317.87,1,11,303,529,75,2,27,3,91,1,145.5,1,0,2,17,22,0,-12758.699166666667,0
331.65,1,32,36,375,5,2,41,1,61,1,4172.57,1,0,2,17,25,4,-10478.748055555556,0
5.04,1,42,20,494,0,0,56,2,41,1,5558.36,1,0,0,16,27,0,-8223.537222222221,0
214.54,0,11,110,282,25,2,70,0,247,1,11151.53,1,0,2,17,4,4,-10982.42,0
598.81,1,30,41,571,80,1,57,0,158,1,1415.52,1,0,3,16,4,0,-10239.360555555555,0
841.28,1,40,268,12,82,2,26,3,80,1,1103.64,1,0,3,17,9,2,-10862.592222222222,0
38.15,1,23,667,524,4,2,26,3,108,1,303.68,1,0,0,16,7,3,-10168.000555555556,0
1036.66,1,35,14,464,61,1,58,0,144,1,5541.57,1,0,3,16,11,1,-11559.491944444444,0
124.72,1,28,116,136,3,1,33,1,105,1,6309.8,1,0,1,17,3,0,-11750.888333333334,0
302.45,0,35,51,313,58,1,78,2,40,1,5133.61,1,0,2,17,25,0,-9734.971944444444,0
208.04,1,21,327,502,54,2,47,1,273,1,9344.98,1,0,1,17,20,0,-8390.978611111112,0
5.77,0,20,230,555,97,1,23,3,254,1,1117.97,1,0,0,17,17,4,-8462.729444444445,0
381.33,1,0,615,491,33,0,56,0,75,1,11835.35,1,0,2,16,21,0,-10575.390833333333,0
16.16,1,25,450,181,64,0,50,0,124,1,14401.17,1,0,0,16,16,0,-9231.20638888889,0
486.08,1,28,166,108,59,2,18,3,68,1,1748.69,1,0,3,17,20,1,-12062.753611111111,0
336.39,1,35,411,313,2,1,21,3,18,1,1000.46,1,0,2,16,16,0,-15783.271944444445,0
997.43,1,39,641,10,66,2,69,0,118,1,6810.05,1,0,3,16,22,2,-8344.018333333333,0
234.57,1,6,536,436,44,2,23,3,120,1,263.98,1,0,2,16,1,4,-10311.994166666667,0
6.0,1,6,539,232,89,2,30,0,246,1,5442.76,1,0,0,18,23,0,-9061.524444444445,0
1049.92,1,11,505,72,51,0,80,2,21,1,2037.85,1,0,3,16,23,0,-9063.333611111111,0
227.14,1,5,424,286,56,0,18,3,294,1,341.94,1,0,2,17,3,0,-11750.490555555556,0
233.74,0,28,582,584,29,2,66,2,17,1,1066.59,1,0,2,16,24,1,-9039.504722222222,0
113.02,0,17,355,396,18,1,69,2,166,1,6077.96,1,0,1,16,25,0,-9735.216388888888,0
45.85,1,20,235,189,84,0,20,3,92,1,1659.15,1,0,0,17,16,3,-15038.170555555556,0
973.39,1,34,283,307,25,1,77,2,296,1,2042.22,1,0,3,17,30,2,-10358.806666666667,0
514.95,1,27,107,368,55,2,41,0,142,5,421.93,1,0,3,18,13,3,-13693.536944444444,0
415.5,1,22,318,112,76,0,66,0,141,1,10113.66,1,0,3,16,28,4,-11151.683333333332,0
265.76,1,30,155,384,48,2,54,2,92,1,4446.17,1,0,2,17,6,0,-15278.389722222222,0
69.4,1,41,398,344,72,2,80,2,113,1,6452.77,1,0,0,18,24,0,-11246.005833333333,0
332.93,0,0,531,43,38,1,35,1,293,1,2788.2,1,0,2,16,20,0,-8391.640555555556,0
267.9,1,35,587,346,77,2,20,3,160,1,596.16,1,0,2,16,9,0,-9399.263055555555,0
496.03,1,37,69,330,8,1,61,0,265,1,12904.66,1,0,3,16,3,4,-8799.396944444445,0
376.26,1,40,465,548,80,0,37,1,245,1,9062.4,1,0,2,16,15,2,-15063.479722222222,0
83.02,0,39,220,401,57,2,36,1,171,1,9009.56,1,0,1,17,4,0,-10238.18611111111,0
93.26,0,27,421,236,91,2,20,3,72,1,1152.2,1,0,1,16,27,3,-11175.82,0
803.37,0,22,106,269,29,1,68,0,129,1,12168.37,1,0,3,16,17,0,-13600.001666666667,0
35.76,1,5,658,37,56,1,23,3,122,1,611.86,1,0,0,17,19,1,-9878.556111111111,0
28.53,1,42,300,343,34,2,62,0,99,1,8670.53,1,0,0,16,31,2,-12543.480833333333,0
139.53,0,21,474,200,1,2,53,0,177,1,10098.86,1,0,1,17,9,0,-9398.789444444445,0
307.57,1,11,75,79,48,1,33,0,285,1,5307.74,1,0,2,16,9,0,-15951.90888888889,0
60.65,0,40,441,4,84,1,56,2,53,1,1047.28,1,0,0,18,26,4,-12661.903888888888,0
74.86,1,26,113,180,27,1,70,0,125,1,6921.48,1,0,0,17,14,0,-10742.406111111111,0
117.97,1,18,273,292,99,1,51,2,137,1,1475.46,1,0,1,18,24,4,-8293.296944444444,0
231.91,1,22,357,184,43,0,34,1,165,1,112.76,1,0,2,18,31,1,-15421.681388888888,0
126.21,1,3,0,114,0,1,75,2,268,1,5669.66,1,0,1,16,14,1,-15088.028055555556,0
506.28,0,6,588,31,9,2,53,2,162,2,1309.95,1,0,3,17,2,1,-13239.094444444445,0
304.35,1,15,273,238,6,1,31,1,36,1,4057.1,1,0,2,17,4,0,-8055.019722222222,0
281.85,1,11,146,353,12,0,22,3,109,1,1585.98,1,0,2,17,16,1,-12902.683611111112,0
777.88,1,15,421,109,17,1,31,1,17,1,6825.55,1,0,3,16,20,0,-14271.184166666666,0
119.18,1,20,299,510,92,1,56,2,96,1,5516.5,1,0,1,18,25,4,-10478.09888888889,0
177.19,1,6,646,87,87,2,76,2,43,1,5343.3,1,0,1,17,15,0,-12926.683888888889,0
260.88,1,10,315,243,93,1,22,3,36,1,903.05,1,0,2,16,29,0,-12591.278333333334,0
169.47,1,6,60,70,45,2,24,3,19,1,1806.16,1,0,1,16,22,2,-14223.95638888889,0
73.23,1,32,58,158,21,1,26,3,14,1,787.74,1,0,0,16,19,4,-12831.305277777778,0
1362.55,1,12,207,580,0,0,29,1,106,1,2429.68,1,0,3,18,10,4,-15182.066111111111,0
792.57,1,3,409,32,58,0,19,3,164,1,770.37,1,0,3,16,22,0,-12759.800833333333,0
237.06,1,31,440,489,48,2,71,2,46,1,1182.77,1,0,2,16,18,0,-7719.3425,0
34.17,0,30,35,227,90,2,54,1,54,1,726.55,1,0,0,16,21,1,-8367.146111111111,0
740.25,1,30,29,0,9,2,41,0,123,1,14464.3,1,0,3,17,19,2,-11367.074722222222,0
453.54,1,0,148,365,16,0,58,0,82,1,12046.3,1,0,3,16,19,2,-13551.600833333334,0
300.47,1,17,264,160,64,1,73,2,100,1,7885.64,1,0,2,16,13,0,-8559.935555555556,0
110.93,0,41,140,12,35,1,19,3,201,1,1952.35,1,0,1,16,7,4,-13839.54388888889,0
201.69,1,19,606,272,18,0,59,0,299,1,7328.52,1,0,1,16,3,1,-16095.394444444444,0
399.21,1,32,292,388,61,0,59,1,109,1,3210.39,1,0,2,16,30,0,-15447.875555555556,0
1041.88,1,17,203,394,31,2,78,2,57,1,5726.2,1,0,3,16,6,2,-10191.378333333334,0
630.36,1,23,89,303,83,0,62,2,52,1,1363.65,1,0,3,16,2,3,-14704.006111111112,0
10.94,0,30,486,5,82,0,60,1,245,1,1241.99,1,0,0,17,23,0,-9062.79611111111,0
215.9,1,20,399,133,82,0,38,0,235,1,7873.28,1,0,2,16,4,2,-16072.137222222222,0
1422.55,1,42,552,251,71,1,79,2,165,1,5674.32,1,0,3,17,10,0,-11582.292222222222,0
226.37,0,21,611,319,40,1,49,0,141,1,9840.04,1,0,2,17,18,0,-9903.046666666667,0
444.89,0,19,169,430,59,1,43,0,101,1,10328.23,1,0,3,16,11,0,-10071.736388888889,0
280.57,0,41,521,212,16,2,25,3,24,1,293.24,1,0,2,17,27,4,-15518.58861111111,0
488.54,1,17,451,291,35,1,52,1,132,1,7486.63,1,0,3,17,3,0,-11750.326944444445,0
3.3,0,20,209,59,84,1,50,0,131,1,11385.37,1,0,0,16,27,0,-14103.465277777777,0
199.39,1,7,294,280,22,1,69,2,165,1,7264.79,1,0,1,16,21,0,-10575.878888888888,0
20.36,1,40,81,584,68,1,62,2,75,1,2762.48,1,0,0,17,24,0,-11247.149166666666,0
113.64,1,11,21,390,37,2,62,2,32,1,6675.03,1,0,1,17,24,1,-9038.970555555556,0
493.11,1,7,226,402,21,1,53,2,236,1,7432.99,1,0,3,16,31,0,-11079.709722222222,0
307.41,1,20,13,2,6,0,19,3,14,1,1057.0,1,0,2,17,12,0,-12254.615555555556,0
11.18,1,1,127,173,16,2,43,0,161,1,5956.89,1,0,0,16,30,3,-8151.293888888889,0
313.82,1,40,345,231,96,1,59,1,151,1,7261.59,1,0,2,18,15,2,-8509.184444444445,0
51.0,1,39,194,275,62,1,64,2,107,1,4943.16,1,0,0,16,30,0,-15448.129166666668,0
140.98,1,22,359,271,58,1,60,1,100,1,8127.48,1,0,1,16,25,3,-12687.630833333333,0
288.04,1,10,565,317,91,0,68,2,63,1,1748.02,1,0,2,16,24,3,-10503.3775,0
800.55,1,28,637,533,61,0,31,1,108,1,9660.22,1,0,3,16,4,3,-13191.755,0
485.54,1,15,572,112,60,0,46,1,143,1,6371.51,1,0,3,17,6,0,-15278.413055555555,0
521.15,1,18,106,198,83,0,54,0,214,1,9442.47,1,0,3,18,17,4,-15013.857222222223,0
321.79,0,33,520,556,55,0,63,2,61,1,5959.2,1,0,2,17,7,0,-10910.657777777778,0
304.93,1,32,680,326,97,0,65,0,158,1,13531.22,1,0,2,16,24,4,-14847.748055555556,0
432.08,1,12,72,420,43,0,40,0,145,1,11500.62,1,0,3,16,31,0,-11080.114166666666,0
694.2,1,25,6,376,34,0,61,2,72,1,1389.37,1,0,3,16,7,3,-7983.7875,0
116.86,1,21,514,239,87,0,55,1,171,1,6706.56,1,0,1,18,20,0,-14269.724166666667,0
386.81,0,11,242,399,38,2,57,0,149,1,7175.29,1,0,2,18,3,4,-14678.132777777777,0
74.88,1,1,137,179,25,0,25,3,202,1,420.67,1,0,0,16,24,2,-12711.698888888888,0
195.76,1,30,500,62,55,1,75,2,99,1,7323.53,1,0,1,16,22,0,-12759.874722222223,0
134.7,1,13,617,157,73,0,50,0,106,1,8395.85,1,0,1,16,21,0,-10576.130277777778,0
890.24,0,19,217,380,28,2,33,1,161,1,5140.93,1,0,3,18,7,4,-11654.06361111111,0
361.27,1,29,656,527,87,0,63,0,180,1,7945.57,1,0,2,17,6,4,-16023.137222222222,0
131.56,1,5,198,377,13,1,44,0,42,1,5873.54,1,0,1,16,19,3,-9159.409722222223,0
485.51,0,25,445,569,96,2,76,2,37,1,3074.45,1,0,3,16,28,1,-8199.309722222222,0
547.87,1,8,179,252,63,0,64,2,131,1,6155.76,1,0,3,17,10,0,-11582.917777777779,0
457.3,1,41,208,492,41,2,28,1,15,1,8318.29,1,0,3,18,26,0,-11917.708888888888,0
506.24,1,6,304,98,76,0,58,1,64,1,230.09,1,0,3,16,13,4,-15855.45388888889,0
486.59,1,16,28,80,16,1,57,2,119,1,2513.56,1,0,3,16,19,1,-7695.245833333333,0
163.68,1,36,425,404,86,1,41,0,292,1,10090.05,1,0,1,16,28,3,-9663.834444444445,0
581.65,1,4,646,539,8,0,22,3,176,1,480.19,1,0,3,16,9,0,-15951.244722222222,0
52.01,1,23,632,229,18,0,48,0,85,1,1120.88,1,0,0,16,7,1,-8703.423055555555,0
630.24,1,4,531,67,53,0,21,3,62,1,370.81,1,0,3,18,29,2,-8174.022777777778,0
523.74,1,28,534,344,98,0,43,0,159,1,13498.55,1,0,3,16,2,3,-8823.504166666668,0
705.6,1,31,101,316,70,1,40,0,124,3,14804.7,1,0,3,18,20,0,-14941.455833333333,0
217.5,0,10,469,13,42,1,46,1,35,1,3057.4,1,0,2,18,23,0,-9061.202777777778,0
91.48,1,13,286,178,80,0,51,0,141,1,14942.78,1,0,1,16,23,0,-15615.312777777777,0
5.25,1,38,554,578,9,0,39,0,49,1,14143.32,1,0,0,18,13,0,-8557.766111111112,0
54.03,0,25,502,183,86,0,56,2,161,1,6736.3,1,0,0,17,19,1,-9878.847222222223,0
736.73,1,22,163,23,36,1,48,1,10,1,3313.07,1,0,3,16,27,0,-8224.090833333334,0
368.91,1,41,215,350,81,1,54,0,14,1,829.71,1,0,2,17,10,4,-14510.341944444444,0
33.06,0,13,402,494,44,2,53,2,170,1,1540.87,1,0,0,16,17,1,-15760.050555555556,0
66.5,0,21,404,85,97,2,32,1,144,1,6820.23,1,0,0,16,4,3,-13191.386111111111,0
177.08,1,19,435,226,13,2,35,0,85,1,13475.14,1,0,1,17,6,4,-16022.926944444445,0
588.54,1,32,591,335,30,1,32,1,130,1,714.45,1,0,3,17,6,0,-15278.219166666666,0
173.5,1,26,229,392,51,0,21,3,282,1,1306.91,1,0,1,17,23,0,-9062.925555555556,0
78.33,0,22,186,555,68,2,56,1,189,1,7255.33,1,0,0,16,31,0,-11079.918333333333,0
40.66,1,21,208,141,60,1,59,2,156,1,1153.84,1,0,0,16,1,0,-7384.044166666667,0
97.22,0,1,490,252,62,1,77,2,55,1,6647.73,1,0,1,17,20,0,-14942.682777777778,0
34.07,1,30,155,381,79,1,22,3,81,1,8709.77,1,0,0,17,6,0,-8726.739722222223,0
492.06,1,14,396,485,11,2,23,3,74,1,857.9,1,0,3,16,19,3,-9159.928055555556,0
842.01,0,41,204,490,14,2,53,0,185,1,509.45,1,0,3,16,12,1,-10047.418333333333,0
73.55,1,1,205,284,85,0,51,1,158,1,2812.06,1,0,0,16,9,0,-15952.025833333333,0
760.53,1,31,631,227,4,2,57,1,118,1,6179.91,1,0,3,18,4,0,-10237.93611111111,0
273.08,0,15,517,146,6,1,26,1,134,1,6609.3,1,0,2,16,30,0,-15447.980277777779,0
371.69,1,37,359,75,19,1,67,2,143,1,3484.32,1,0,2,16,22,4,-7623.702777777778,0
218.96,1,39,539,461,20,0,18,3,13,1,754.21,1,0,2,16,30,2,-10359.98,0
227.39,1,1,202,584,9,2,18,3,65,1,751.09,1,0,2,16,25,0,-7551.221388888889,0
237.99,0,18,546,207,42,1,39,0,86,1,8510.09,1,0,2,16,8,0,-13095.440277777778,0
186.6,1,42,147,459,36,2,58,0,13,1,1508.72,1,0,1,16,4,1,-11727.650277777779,0
341.15,1,38,438,483,41,2,18,3,148,1,511.37,1,0,2,17,13,0,-15110.865,0
434.58,1,22,134,539,90,0,59,0,215,1,12648.32,1,0,3,16,6,2,-10191.660277777777,0
312.88,0,32,486,305,39,1,54,1,44,1,233.21,1,0,2,18,26,4,-12661.909166666666,0
75.15,1,4,13,96,93,0,23,3,154,1,1092.92,1,0,0,17,18,0,-9902.660277777777,0
23.3,1,20,370,36,60,0,59,1,161,1,6711.15,1,0,0,18,14,0,-10741.907777777778,0
47.38,0,39,373,146,60,2,25,3,61,1,459.37,1,0,0,18,8,2,-15229.816111111111,0
512.81,1,34,593,547,3,1,79,2,30,1,6994.34,1,0,3,16,19,2,-11367.249166666666,0
488.15,1,21,251,540,97,1,43,1,168,1,7071.09,1,0,3,16,31,0,-11080.170277777777,0
