TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmountBin,TransactionHour,TransactionDay,TransactionWeekday,TimeSinceLastTransaction,anomaly
259.91,1,10,596,406,27,2,49,0,170,1,7176.86,2,0,1,3,5.291666666666666e-10,0
154.71,1,36,477,200,29,2,34,0,157,1,1523.72,1,0,1,3,2.8305555555555554e-10,0
1340.19,0,2,557,193,11,2,54,1,30,1,8654.28,3,0,1,3,5.038888888888888e-10,0
24.56,1,23,413,171,32,1,64,0,69,1,9869.93,0,0,1,3,4.5999999999999996e-10,0
568.07,1,42,17,532,53,0,48,0,115,1,10556.81,3,0,1,3,4.255555555555555e-10,0
9.61,0,36,438,89,42,2,58,0,179,1,12883.91,0,0,1,3,2.761111111111111e-10,0
392.96,1,18,139,246,21,2,24,3,100,1,791.65,2,0,1,3,5.708333333333333e-10,0
716.93,0,25,311,12,51,2,60,2,34,1,4064.02,3,0,1,3,4.502777777777778e-10,0
223.85,1,18,465,90,8,0,53,1,55,4,2929.91,2,0,1,3,4.875e-10,0
230.66,1,15,509,487,48,1,21,3,135,1,618.05,2,0,1,3,9.333333333333333e-11,0
442.12,1,20,625,205,46,2,19,3,260,1,1375.8,3,0,1,3,6.436111111111111e-10,0
644.17,1,35,174,196,92,0,29,1,72,1,1143.52,3,0,1,3,9.222222222222222e-11,0
508.68,0,23,602,272,47,1,51,1,127,1,7708.41,3,0,1,3,2.7305555555555553e-10,0
858.63,0,37,18,225,1,1,27,3,185,1,1872.96,3,0,1,3,1.2777777777777777e-10,0
25.36,1,21,187,490,6,0,57,1,78,1,201.04,0,0,1,3,2.85e-10,0
147.62,1,5,91,144,27,1,71,2,133,1,2115.8,1,0,1,3,4.3916666666666665e-10,0
115.02,1,35,511,94,3,1,37,0,175,1,7643.66,1,0,1,3,4.341666666666666e-10,0
383.37,1,13,310,232,65,1,30,1,24,1,8901.93,2,0,1,3,-3.3055555555555553e-11,0
98.54,0,12,511,398,94,2,20,3,167,1,9383.43,1,0,1,3,3.516666666666667e-10,0
83.24,0,13,589,327,8,1,55,0,164,1,1181.31,1,0,1,3,4.705555555555555e-10,0
196.16,1,41,160,315,98,1,27,1,146,1,9418.86,1,0,1,3,6.972222222222222e-11,0
129.94,1,19,627,36,44,0,32,1,235,1,7954.92,1,0,1,3,-8.333333333333333e-13,0
306.9,1,7,77,584,46,2,46,1,51,1,9418.08,2,0,1,3,5.625000000000001e-10,0
114.98,1,39,178,51,31,2,59,2,80,1,6144.68,1,0,1,3,5.263888888888889e-10,0
756.59,1,34,27,222,11,1,27,3,17,1,420.65,3,0,1,3,4e-11,0
503.76,1,20,501,344,82,2,22,3,35,1,447.82,3,0,1,3,5.805555555555555e-10,0
143.03,1,35,453,286,54,0,63,2,147,1,7981.45,1,0,1,3,3.1694444444444445e-10,0
1045.22,1,8,385,525,76,0,53,2,73,1,1829.9,3,0,1,3,5.963888888888889e-10,0
245.54,1,27,519,432,88,0,25,3,180,1,985.06,2,0,1,3,8.777777777777779e-11,0
254.37,0,9,461,121,11,2,51,1,174,1,8849.26,2,0,1,3,1.9527777777777777e-10,0
213.76,0,9,557,457,8,0,78,2,282,1,3528.72,2,0,1,3,6.638888888888889e-11,0
327.86,1,14,635,251,50,2,40,1,104,1,480.16,2,0,1,3,7.305555555555556e-11,0
2.5,1,36,653,434,41,2,47,0,107,1,12145.27,0,0,1,3,3.122222222222222e-10,0
300.08,0,2,259,555,39,2,68,0,47,1,13546.75,2,0,1,3,4.2805555555555556e-10,0
56.98,0,28,250,13,85,0,43,1,122,2,5688.37,0,0,1,3,6.73888888888889e-10,0
407.65,1,4,527,589,40,2,26,1,62,1,8346.64,2,0,1,3,3.452777777777778e-10,0
115.83,1,14,643,76,85,1,39,1,167,1,6481.04,1,0,1,3,1.9861111111111111e-10,0
53.57,1,15,472,439,24,0,69,2,121,1,1651.33,0,0,1,3,3.8444444444444443e-10,0
63.34,0,11,419,509,27,2,46,0,165,1,11174.94,0,0,1,3,5.413888888888889e-10,0
317.87,1,11,303,529,75,2,27,3,91,1,145.5,2,0,1,3,1.7472222222222222e-10,0
331.65,1,32,36,375,5,2,41,1,61,1,4172.57,2,0,1,3,3.633333333333333e-10,0
5.04,1,42,20,494,0,0,56,2,41,1,5558.36,0,0,1,3,5.530555555555556e-10,0
214.54,0,11,110,282,25,2,70,0,247,1,11151.53,2,0,1,3,3.05e-10,0
598.81,1,30,41,571,80,1,57,0,158,1,1415.52,3,0,1,3,3.9472222222222224e-10,0
841.28,1,40,268,12,82,2,26,3,80,1,1103.64,3,0,1,3,3.480555555555555e-10,0
38.15,1,23,667,524,4,2,26,3,108,1,303.68,0,0,1,3,4.4444444444444443e-10,0
1036.66,1,35,14,464,61,1,58,0,144,1,5541.57,3,0,1,3,3.05e-10,0
124.72,1,28,116,136,3,1,33,1,105,1,6309.8,1,0,1,3,3.222222222222222e-10,0
302.45,0,35,51,313,58,1,78,2,40,1,5133.61,2,0,1,3,4.1194444444444444e-10,0
208.04,1,21,327,502,54,2,47,1,273,1,9344.98,1,0,1,3,5.724999999999999e-10,0
5.77,0,20,230,555,97,1,23,3,254,1,1117.97,0,0,1,3,5.316666666666666e-10,0
381.33,1,0,615,491,33,0,56,0,75,1,11835.35,2,0,1,3,3.7694444444444445e-10,0
16.16,1,25,450,181,64,0,50,0,124,1,14401.17,0,0,1,3,4.4916666666666667e-10,0
486.08,1,28,166,108,59,2,18,3,68,1,1748.69,3,0,1,3,3.061111111111111e-10,0
336.39,1,35,411,313,2,1,21,3,18,1,1000.46,2,0,1,3,-3.111111111111111e-11,0
997.43,1,39,641,10,66,2,69,0,118,1,6810.05,3,0,1,3,5.819444444444444e-10,0
234.57,1,6,536,436,44,2,23,3,120,1,263.98,2,0,1,3,4.141666666666667e-10,0
6.0,1,6,539,232,89,2,30,0,246,1,5442.76,0,0,1,3,5.05e-10,0
1049.92,1,11,505,72,51,0,80,2,21,1,2037.85,3,0,1,3,4.883333333333333e-10,0
227.14,1,5,424,286,56,0,18,3,294,1,341.94,2,0,1,3,2.5388888888888887e-10,0
233.74,0,28,582,584,29,2,66,2,17,1,1066.59,2,0,1,3,4.805555555555556e-10,0
113.02,0,17,355,396,18,1,69,2,166,1,6077.96,1,0,1,3,4.86388888888889e-10,0
45.85,1,20,235,189,84,0,20,3,92,1,1659.15,0,0,1,3,7.166666666666666e-11,0
973.39,1,34,283,307,25,1,77,2,296,1,2042.22,3,0,1,3,3.6194444444444445e-10,0
514.95,1,27,107,368,55,2,41,0,142,5,421.93,3,0,1,3,1.333333333333333e-10,0
415.5,1,22,318,112,76,0,66,0,141,1,10113.66,3,0,1,3,3.186111111111111e-10,0
265.76,1,30,155,384,48,2,54,2,92,1,4446.17,2,0,1,3,-3.0833333333333337e-11,0
69.4,1,41,398,344,72,2,80,2,113,1,6452.77,0,0,1,3,3.327777777777778e-10,0
332.93,0,0,531,43,38,1,35,1,293,1,2788.2,2,0,1,3,5.786111111111111e-10,0
267.9,1,35,587,346,77,2,20,3,160,1,596.16,2,0,1,3,4.897222222222223e-10,0
496.03,1,37,69,330,8,1,61,0,265,1,12904.66,3,0,1,3,5.252777777777777e-10,0
376.26,1,40,465,548,80,0,37,1,245,1,9062.4,2,0,1,3,2.6666666666666665e-11,0
83.02,0,39,220,401,57,2,36,1,171,1,9009.56,1,0,1,3,3.838888888888889e-10,0
93.26,0,27,421,236,91,2,20,3,72,1,1152.2,1,0,1,3,2.886111111111111e-10,0
803.37,0,22,106,269,29,1,68,0,129,1,12168.37,3,0,1,3,1.5833333333333336e-10,0
35.76,1,5,658,37,56,1,23,3,122,1,611.86,0,0,1,3,4.0333333333333334e-10,0
28.53,1,42,300,343,34,2,62,0,99,1,8670.53,0,0,1,3,2.7555555555555557e-10,0
139.53,0,21,474,200,1,2,53,0,177,1,10098.86,1,0,1,3,5.077777777777777e-10,0
307.57,1,11,75,79,48,1,33,0,285,1,5307.74,2,0,1,3,1.1666666666666667e-11,0
60.65,0,40,441,4,84,1,56,2,53,1,1047.28,0,0,1,3,2.2055555555555558e-10,0
74.86,1,26,113,180,27,1,70,0,125,1,6921.48,0,0,1,3,3.9916666666666663e-10,0
117.97,1,18,273,292,99,1,51,2,137,1,1475.46,1,0,1,3,5.733333333333333e-10,0
231.91,1,22,357,184,43,0,34,1,165,1,112.76,2,0,1,3,-4.027777777777777e-11,0
126.21,1,3,0,114,0,1,75,2,268,1,5669.66,1,0,1,3,4.4722222222222225e-11,0
506.28,0,6,588,31,9,2,53,2,162,2,1309.95,3,0,1,3,1.7694444444444445e-10,0
304.35,1,15,273,238,6,1,31,1,36,1,4057.1,2,0,1,3,6.047222222222223e-10,0
281.85,1,11,146,353,12,0,22,3,109,1,1585.98,2,0,1,3,2.2805555555555555e-10,0
777.88,1,15,421,109,17,1,31,1,17,1,6825.55,3,0,1,3,1.0444444444444444e-10,0
119.18,1,20,299,510,92,1,56,2,96,1,5516.5,1,0,1,3,4.211111111111111e-10,0
177.19,1,6,646,87,87,2,76,2,43,1,5343.3,1,0,1,3,2.4305555555555553e-10,0
260.88,1,10,315,243,93,1,22,3,36,1,903.05,2,0,1,3,2.638888888888889e-10,0
169.47,1,6,60,70,45,2,24,3,19,1,1806.16,1,0,1,3,1.361111111111111e-10,0
73.23,1,32,58,158,21,1,26,3,14,1,787.74,0,0,1,3,1.7305555555555556e-10,0
1362.55,1,12,207,580,0,0,29,1,106,1,2429.68,3,0,1,3,-2.2222222222222224e-12,0
792.57,1,3,409,32,58,0,19,3,164,1,770.37,3,0,1,3,1.8527777777777778e-10,0
237.06,1,31,440,489,48,2,71,2,46,1,1182.77,2,0,1,3,6.444444444444444e-10,0
34.17,0,30,35,227,90,2,54,1,54,1,726.55,0,0,1,3,6.130555555555555e-10,0
740.25,1,30,29,0,9,2,41,0,123,1,14464.3,3,0,1,3,3.333333333333333e-10,0
453.54,1,0,148,365,16,0,58,0,82,1,12046.3,3,0,1,3,1.0694444444444445e-10,0
300.47,1,17,264,160,64,1,73,2,100,1,7885.64,2,0,1,3,5.675000000000001e-10,0
110.93,0,41,140,12,35,1,19,3,201,1,1952.35,1,0,1,3,1.0861111111111112e-10,0
201.69,1,19,606,272,18,0,59,0,299,1,7328.52,1,0,1,3,-5.861111111111111e-11,0
399.21,1,32,292,388,61,0,59,1,109,1,3210.39,2,0,1,3,1.8055555555555557e-11,0
1041.88,1,17,203,394,31,2,78,2,57,1,5726.2,3,0,1,3,4.5944444444444443e-10,0
630.36,1,23,89,303,83,0,62,2,52,1,1363.65,3,0,1,3,2.388888888888889e-11,0
10.94,0,30,486,5,82,0,60,1,245,1,1241.99,0,0,1,3,4.680555555555556e-10,0
215.9,1,20,399,133,82,0,38,0,235,1,7873.28,2,0,1,3,-5.888888888888889e-11,0
1422.55,1,42,552,251,71,1,79,2,165,1,5674.32,3,0,1,3,3.461111111111111e-10,0
226.37,0,21,611,319,40,1,49,0,141,1,9840.04,2,0,1,3,4.2805555555555556e-10,0
444.89,0,19,169,430,59,1,43,0,101,1,10328.23,3,0,1,3,3.8194444444444444e-10,0
280.57,0,41,521,212,16,2,25,3,24,1,293.24,2,0,1,3,-1.8055555555555557e-11,0
488.54,1,17,451,291,35,1,52,1,132,1,7486.63,3,0,1,3,3.227777777777778e-10,0
3.3,0,20,209,59,84,1,50,0,131,1,11385.37,0,0,1,3,9.805555555555555e-11,0
199.39,1,7,294,280,22,1,69,2,165,1,7264.79,1,0,1,3,3.8305555555555556e-10,0
20.36,1,40,81,584,68,1,62,2,75,1,2762.48,0,0,1,3,2.9499999999999996e-10,0
113.64,1,11,21,390,37,2,62,2,32,1,6675.03,1,0,1,3,5.372222222222223e-10,0
493.11,1,7,226,402,21,1,53,2,236,1,7432.99,3,0,1,3,3.602777777777778e-10,0
307.41,1,20,13,2,6,0,19,3,14,1,1057.0,2,0,1,3,2.4416666666666665e-10,0
11.18,1,1,127,173,16,2,43,0,161,1,5956.89,0,0,1,3,5.705555555555556e-10,0
313.82,1,40,345,231,96,1,59,1,151,1,7261.59,2,0,1,3,5.644444444444445e-10,0
51.0,1,39,194,275,62,1,64,2,107,1,4943.16,0,0,1,3,1.638888888888889e-11,0
140.98,1,22,359,271,58,1,60,1,100,1,8127.48,1,0,1,3,1.7027777777777778e-10,0
288.04,1,10,565,317,91,0,68,2,63,1,1748.02,2,0,1,3,3.7694444444444445e-10,0
800.55,1,28,637,533,61,0,31,1,108,1,9660.22,3,0,1,3,2.177777777777778e-10,0
485.54,1,15,572,112,60,0,46,1,143,1,6371.51,3,0,1,3,-2.25e-11,0
521.15,1,18,106,198,83,0,54,0,214,1,9442.47,3,0,1,3,7.277777777777778e-11,0
321.79,0,33,520,556,55,0,63,2,61,1,5959.2,2,0,1,3,3.425e-10,0
304.93,1,32,680,326,97,0,65,0,158,1,13531.22,2,0,1,3,7.38888888888889e-11,0
432.08,1,12,72,420,43,0,40,0,145,1,11500.62,3,0,1,3,2.972222222222222e-10,0
694.2,1,25,6,376,34,0,61,2,72,1,1389.37,3,0,1,3,6.35e-10,0
116.86,1,21,514,239,87,0,55,1,171,1,6706.56,1,0,1,3,5.6944444444444446e-11,0
386.81,0,11,242,399,38,2,57,0,149,1,7175.29,2,0,1,3,5.138888888888889e-11,0
74.88,1,1,137,179,25,0,25,3,202,1,420.67,0,0,1,3,2.427777777777778e-10,0
195.76,1,30,500,62,55,1,75,2,99,1,7323.53,1,0,1,3,1.9888888888888888e-10,0
134.7,1,13,617,157,73,0,50,0,106,1,8395.85,1,0,1,3,3.4916666666666665e-10,0
890.24,0,19,217,380,28,2,33,1,161,1,5140.93,3,0,1,3,3.3000000000000005e-10,0
361.27,1,29,656,527,87,0,63,0,180,1,7945.57,2,0,1,3,-5.083333333333334e-11,0
131.56,1,5,198,377,13,1,44,0,42,1,5873.54,1,0,1,3,5.386111111111111e-10,0
485.51,0,25,445,569,96,2,76,2,37,1,3074.45,3,0,1,3,6.044444444444445e-10,0
547.87,1,8,179,252,63,0,64,2,131,1,6155.76,3,0,1,3,2.8388888888888887e-10,0
457.3,1,41,208,492,41,2,28,1,15,1,8318.29,3,0,1,3,3.041666666666667e-10,0
506.24,1,6,304,98,76,0,58,1,64,1,230.09,3,0,1,3,-6.249999999999999e-11,0
486.59,1,16,28,80,16,1,57,2,119,1,2513.56,3,0,1,3,6.116666666666666e-10,0
163.68,1,36,425,404,86,1,41,0,292,1,10090.05,1,0,1,3,4.3305555555555554e-10,0
581.65,1,4,646,539,8,0,22,3,176,1,480.19,3,0,1,3,-3.75e-11,0
52.01,1,23,632,229,18,0,48,0,85,1,1120.88,0,0,1,3,5.030555555555556e-10,0
630.24,1,4,531,67,53,0,21,3,62,1,370.81,3,0,1,3,5.438888888888889e-10,0
523.74,1,28,534,344,98,0,43,0,159,1,13498.55,3,0,1,3,5.708333333333333e-10,0
705.6,1,31,101,316,70,1,40,0,124,3,14804.7,3,0,1,3,5.222222222222222e-11,0
217.5,0,10,469,13,42,1,46,1,35,1,3057.4,2,0,1,3,5.516666666666667e-10,0
91.48,1,13,286,178,80,0,51,0,141,1,14942.78,1,0,1,3,-6.666666666666666e-12,0
5.25,1,38,554,578,9,0,39,0,49,1,14143.32,0,0,1,3,4.994444444444444e-10,0
54.03,0,25,502,183,86,0,56,2,161,1,6736.3,0,0,1,3,4.702777777777777e-10,0
736.73,1,22,163,23,36,1,48,1,10,1,3313.07,3,0,1,3,5.483333333333334e-10,0
368.91,1,41,215,350,81,1,54,0,14,1,829.71,2,0,1,3,6.86111111111111e-11,0
33.06,0,13,402,494,44,2,53,2,170,1,1540.87,0,0,1,3,2.5555555555555557e-11,0
66.5,0,21,404,85,97,2,32,1,144,1,6820.23,0,0,1,3,1.975e-10,0
177.08,1,19,435,226,13,2,35,0,85,1,13475.14,1,0,1,3,-8.75e-11,0
588.54,1,32,591,335,30,1,32,1,130,1,714.45,3,0,1,3,-2.5e-12,0
173.5,1,26,229,392,51,0,21,3,282,1,1306.91,1,0,1,3,4.677777777777778e-10,0
78.33,0,22,186,555,68,2,56,1,189,1,7255.33,0,0,1,3,3.55e-10,0
40.66,1,21,208,141,60,1,59,2,156,1,1153.84,0,0,1,3,6.1e-10,0
97.22,0,1,490,252,62,1,77,2,55,1,6647.73,1,0,1,3,1.5e-11,0
34.07,1,30,155,381,79,1,22,3,81,1,8709.77,0,0,1,3,5.688888888888889e-10,0
492.06,1,14,396,485,11,2,23,3,74,1,857.9,3,0,1,3,4.922222222222222e-10,0
842.01,0,41,204,490,14,2,53,0,185,1,509.45,3,0,1,3,4.4e-10,0
73.55,1,1,205,284,85,0,51,1,158,1,2812.06,0,0,1,3,-6.86111111111111e-11,0
760.53,1,31,631,227,4,2,57,1,118,1,6179.91,3,0,1,3,4.077777777777778e-10,0
273.08,0,15,517,146,6,1,26,1,134,1,6609.3,2,0,1,3,2.4444444444444442e-11,0
371.69,1,37,359,75,19,1,67,2,143,1,3484.32,2,0,1,3,6.180555555555555e-10,0
218.96,1,39,539,461,20,0,18,3,13,1,754.21,2,0,1,3,3.8055555555555557e-10,0
227.39,1,1,202,584,9,2,18,3,65,1,751.09,2,0,1,3,5.955555555555556e-10,0
237.99,0,18,546,207,42,1,39,0,86,1,8510.09,2,0,1,3,1.4555555555555555e-10,0
186.6,1,42,147,459,36,2,58,0,13,1,1508.72,1,0,1,3,3.422222222222222e-10,0
341.15,1,38,438,483,41,2,18,3,148,1,511.37,2,0,1,3,1.8055555555555557e-11,0
434.58,1,22,134,539,90,0,59,0,215,1,12648.32,3,0,1,3,4.338888888888889e-10,0
312.88,0,32,486,305,39,1,54,1,44,1,233.21,2,0,1,3,2.5333333333333334e-10,0
75.15,1,4,13,96,93,0,23,3,154,1,1092.92,0,0,1,3,4.113888888888889e-10,0
23.3,1,20,370,36,60,0,59,1,161,1,6711.15,0,0,1,3,3.9250000000000004e-10,0
47.38,0,39,373,146,60,2,25,3,61,1,459.37,0,0,1,3,5.944444444444445e-11,0
512.81,1,34,593,547,3,1,79,2,30,1,6994.34,3,0,1,3,2.7472222222222224e-10,0
488.15,1,21,251,540,97,1,43,1,168,1,7071.09,3,0,1,3,3.061111111111111e-10,0
12.82,1,13,466,151,54,0,44,1,156,1,9045.19,0,0,1,3,1.4694444444444445e-10,0
66.9,0,5,215,106,20,2,79,2,129,4,5238.71,0,0,1,3,1.2722222222222223e-10,1
535.91,1,19,566,17,96,2,43,1,22,1,9642.12,3,0,1,3,2.7388888888888886e-10,0
270.72,0,42,491,375,93,2,26,1,53,1,6263.96,2,0,1,3,2.6277777777777777e-10,0
97.98,1,10,454,333,32,1,72,2,18,1,7460.33,1,0,1,3,2.3611111111111108e-11,0
196.08,1,37,603,293,87,2,61,2,98,1,4233.82,1,0,1,3,4.375e-10,0
251.18,1,38,55,94,57,0,42,1,246,1,8303.9,2,0,1,3,2.5361111111111113e-10,0
44.52,1,12,598,563,80,2,28,3,205,1,314.28,0,0,1,3,9.916666666666666e-11,0
178.87,1,3,643,95,0,2,35,0,180,1,5241.23,1,0,1,3,1.9861111111111111e-10,0
1176.28,0,18,460,455,73,0,54,1,174,5,323.69,3,0,1,3,5.847222222222223e-10,1
